workDate,itemID,duration,rateApplied,payout,payType,projectName,status
"Apr 8, 2025","67e81725517b27b68fa923d0","1m 2s","$9.75/hr","$0.17","overtimePay","hopper_v2","pending"
"Apr 8, 2025","67e81725517b27b68fa923d0","1h ","$32.50/hr","$32.50","prepay","hopper_v2","pending"
"Apr 8, 2025","67e7b13cd18d0bf8f8630070","59m 34s","$32.50/hr","$32.27","prepay","hopper_v2","pending"
"Apr 8, 2025","67e837b501accfa34e44dba1","5m 25s","$9.75/hr","$0.88","overtimePay","hopper_v2","pending"
"Apr 8, 2025","67e837b501accfa34e44dba1","1h ","$32.50/hr","$32.50","prepay","hopper_v2","pending"
"Apr 8, 2025","67e22a5aafe8caf17a358f6d","2m 8s","$9.75/hr","$0.35","overtimePay","hopper_v2","pending"
"Apr 8, 2025","67e22a5aafe8caf17a358f6d","1h ","$32.50/hr","$32.50","prepay","hopper_v2","pending"
"Apr 8, 2025","67e79379c43084537ef2d830","58m 47s","$32.50/hr","$31.85","prepay","hopper_v2","pending"
"Apr 7, 2025","67e793d00026f6e3763b5c8e","18m 4s","$9.75/hr","$2.94","overtimePay","hopper_v2","processed"
"Apr 7, 2025","67e793d00026f6e3763b5c8e","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 7, 2025","67e245f4812939187dc0045e","11m 53s","$9.75/hr","$1.93","overtimePay","hopper_v2","processed"
"Apr 7, 2025","67e245f4812939187dc0045e","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 7, 2025","67e81805db1ac16870c98f4d","3m 8s","$9.75/hr","$0.51","overtimePay","hopper_v2","processed"
"Apr 7, 2025","67e81805db1ac16870c98f4d","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 7, 2025","67e7b0aba9ba657ffb433e04","2m 8s","$9.75/hr","$0.35","overtimePay","hopper_v2","processed"
"Apr 7, 2025","67e7b0aba9ba657ffb433e04","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 7, 2025","67e81718db357c5b98f21960","58m 59s","$32.50/hr","$31.96","prepay","hopper_v2","processed"
"Apr 7, 2025","67e245f7aedf7bda8a70035a","3m 7s","$9.75/hr","$0.51","overtimePay","hopper_v2","processed"
"Apr 7, 2025","67e245f7aedf7bda8a70035a","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 7, 2025","67e793c21224eeb500c186f1","2m 1s","$9.75/hr","$0.33","overtimePay","hopper_v2","processed"
"Apr 7, 2025","67e793c21224eeb500c186f1","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 7, 2025","67e8762e52bb113c918c6a25","11m 18s","$9.75/hr","$1.84","overtimePay","hopper_v2","processed"
"Apr 7, 2025","67e8762e52bb113c918c6a25","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 5, 2025","67ef792313d675fb345eb1ad","-","-","$2.06","missionReward","-","processed"
"Apr 5, 2025","67ef792313d675fb345eb1ad","-","-","$18.74","missionReward","-","processed"
"Apr 5, 2025","67eb84d40ae7c9a8ec5531bd","-","-","$18.39","missionReward","-","processed"
"Apr 5, 2025","67eb84d40ae7c9a8ec5531bd","-","-","$95.36","missionReward","-","processed"
"Apr 5, 2025","67ee13b8dd61e616393fafd9","41m 20s","$32.50/hr","$22.40","prepay","apron_evals","processed"
"Apr 4, 2025","67ee141b0f4d1342cb4c7f93","1m 33s","$9.75/hr","$0.25","overtimePay","apron_evals","processed"
"Apr 4, 2025","67ee141b0f4d1342cb4c7f93","45m ","$32.50/hr","$24.38","prepay","apron_evals","processed"
"Apr 4, 2025","67ee13c700035ecf20d9b46b","44m 51s","$32.50/hr","$24.29","prepay","apron_evals","processed"
"Apr 4, 2025","67ee1360a525b1799fd2df86","3m 43s","$9.75/hr","$0.61","overtimePay","apron_evals","processed"
"Apr 4, 2025","67ee1360a525b1799fd2df86","45m ","$32.50/hr","$24.38","prepay","apron_evals","processed"
"Apr 4, 2025","67ee148fcfacc36415e1e832","5m 53s","$9.75/hr","$0.96","overtimePay","apron_evals","processed"
"Apr 4, 2025","67ee148fcfacc36415e1e832","45m ","$32.50/hr","$24.38","prepay","apron_evals","processed"
"Apr 4, 2025","67ee137ce4b133dbb0001c9f","12s","$9.75/hr","$0.03","overtimePay","apron_evals","processed"
"Apr 4, 2025","67ee137ce4b133dbb0001c9f","45m ","$32.50/hr","$24.38","prepay","apron_evals","processed"
"Apr 4, 2025","67ee14429a32329e6bda4a47","2m 4s","$9.75/hr","$0.34","overtimePay","apron_evals","processed"
"Apr 4, 2025","67ee14429a32329e6bda4a47","45m ","$32.50/hr","$24.38","prepay","apron_evals","processed"
"Apr 4, 2025","67ee146b57cce0f7a7f77e16","5m 31s","$9.75/hr","$0.90","overtimePay","apron_evals","processed"
"Apr 4, 2025","67ee146b57cce0f7a7f77e16","45m ","$32.50/hr","$24.38","prepay","apron_evals","processed"
"Apr 4, 2025","67ee133b458e1d372a27be16","44m 50s","$32.50/hr","$24.28","prepay","apron_evals","processed"
"Apr 4, 2025","67ee1376ee480d50be28286c","8m 43s","$9.75/hr","$1.42","overtimePay","apron_evals","processed"
"Apr 4, 2025","67ee1376ee480d50be28286c","45m ","$32.50/hr","$24.38","prepay","apron_evals","processed"
"Apr 4, 2025","67e86decc21dc6dbaaee1f29","58m 2s","$32.50/hr","$31.44","prepay","hopper_v2","processed"
"Apr 4, 2025","67ee27bcce4e54cf922da27e","-","-","$26.00","missionReward","-","processed"
"Apr 4, 2025","67e837728d1ffbe1f336bdb6","58m 35s","$32.50/hr","$31.73","prepay","hopper_v2","processed"
"Apr 3, 2025","67e7932cb727254358a147a1","59m 39s","$32.50/hr","$32.31","prepay","hopper_v2","processed"
"Apr 3, 2025","67e837a2039286a33f57dc77","58m 53s","$32.50/hr","$31.90","prepay","hopper_v2","processed"
"Apr 3, 2025","67e83797b74a473cc5cc2979","59m 48s","$32.50/hr","$32.40","prepay","hopper_v2","processed"
"Apr 3, 2025","67e822df0f2e5b290eb4bf52","1m 59s","$9.75/hr","$0.32","overtimePay","hopper_v2","processed"
"Apr 3, 2025","67e822df0f2e5b290eb4bf52","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 3, 2025","67e22ab71f0e3692a4e09f2b","4m 4s","$9.75/hr","$0.66","overtimePay","hopper_v2","processed"
"Apr 3, 2025","67e22ab71f0e3692a4e09f2b","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 3, 2025","67e81746aaf9da66897db16e","1m 20s","$9.75/hr","$0.22","overtimePay","hopper_v2","processed"
"Apr 3, 2025","67e81746aaf9da66897db16e","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 3, 2025","67e7954a53d639a0e16c5139","4m 20s","$9.75/hr","$0.70","overtimePay","hopper_v2","processed"
"Apr 3, 2025","67e7954a53d639a0e16c5139","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 3, 2025","67e8761cfd12d5a8b82e7296","11m 45s","$9.75/hr","$1.91","overtimePay","hopper_v2","processed"
"Apr 3, 2025","67e8761cfd12d5a8b82e7296","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 3, 2025","67e822aeb18d69dfcdd9e17b","2m 9s","$9.75/hr","$0.35","overtimePay","hopper_v2","processed"
"Apr 3, 2025","67e822aeb18d69dfcdd9e17b","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 3, 2025","67ecd62d91e7abb9c2ac7515","-","-","$20.80","missionReward","-","processed"
"Apr 3, 2025","67e867aec21dc6dbaaedc0a6","56m 20s","$32.50/hr","$30.51","prepay","hopper_v2","processed"
"Apr 2, 2025","67e86ecee853477cff0cf38c","52m 1s","$32.50/hr","$28.18","prepay","hopper_v2","processed"
"Apr 2, 2025","67e8766fc21dc6dbaaeeb256","53m 21s","$32.50/hr","$28.91","prepay","hopper_v2","processed"
"Apr 2, 2025","67e21c3af788f3a0fa52c071","59m 40s","$32.50/hr","$32.32","prepay","hopper_v2","processed"
"Apr 2, 2025","67e7a9bd10804765fad89d76","11m 32s","$9.75/hr","$1.87","overtimePay","hopper_v2","processed"
"Apr 2, 2025","67e7a9bd10804765fad89d76","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 2, 2025","67e7b175eb32bc93920957e3","59m 12s","$32.50/hr","$32.07","prepay","hopper_v2","processed"
"Apr 2, 2025","67e8178e8133a4613cd30d7a","10m 8s","$9.75/hr","$1.65","overtimePay","hopper_v2","processed"
"Apr 2, 2025","67e8178e8133a4613cd30d7a","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 2, 2025","67e86dfd60f079fe31a001b4","51m 40s","$32.50/hr","$27.99","qaOperation","hopper_v2","processed"
"Apr 2, 2025","67e823397a50d7de28e420e1","10m 34s","$9.75/hr","$1.72","overtimePay","hopper_v2","processed"
"Apr 2, 2025","67e823397a50d7de28e420e1","1h ","$32.50/hr","$32.50","prepay","hopper_v2","processed"
"Apr 2, 2025","67eb84bbd64fd3921781eb75","-","-","$104.00","missionReward","-","processed"
"Apr 1, 2025","67e8dd6bb90403eacf74bfe3","7m 7s","$9.75/hr","$1.16","overtimePay","hopper_v2","processed"
"Apr 1, 2025","67e8dd6bb90403eacf74bfe3","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Apr 1, 2025","67e9f3e60411e4506277a644","4m 17s","$9.75/hr","$0.70","overtimePay","hopper_v2","processed"
"Apr 1, 2025","67e9f3e60411e4506277a644","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Apr 1, 2025","67eb33daac47bdb928f8fa1d","21m 16s","$32.50/hr","$11.52","prepay","hopper_v2","processed"
"Apr 1, 2025","67e85f23c2003d301c694b52","23m 21s","$32.50/hr","$12.66","prepay","hopper_v2","processed"
"Apr 1, 2025","67ead736c314d04747aef222","5m 8s","$9.75/hr","$0.83","overtimePay","hopper_v2","processed"
"Apr 1, 2025","67ead736c314d04747aef222","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Apr 1, 2025","67eaed851aa94695bce4eb53","33m 10s","$32.50/hr","$17.97","prepay","hopper_v2","processed"
"Apr 1, 2025","67eb78d434513f76ded52d7e","3m 1s","$9.75/hr","$0.49","overtimePay","hopper_v2","processed"
"Apr 1, 2025","67eb78d434513f76ded52d7e","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Apr 1, 2025","67ebb0b805230d063b1fd03e","1m 35s","$9.75/hr","$0.26","overtimePay","hopper_v2","processed"
"Apr 1, 2025","67ebb0b805230d063b1fd03e","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Apr 1, 2025","67eba2b39da7d2af6ba1e85e","24m 33s","$32.50/hr","$13.30","prepay","hopper_v2","processed"
"Apr 1, 2025","67eb0905a401a9df9168f9ce","25m 17s","$32.50/hr","$13.70","prepay","hopper_v2","processed"
"Apr 1, 2025","67eb20fc9013b59feccbdd35","14m 45s","$9.75/hr","$2.40","overtimePay","hopper_v2","processed"
"Apr 1, 2025","67eb20fc9013b59feccbdd35","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Apr 1, 2025","67eaba59df05eceee97a6471","22m ","$32.50/hr","$11.92","prepay","hopper_v2","processed"
"Apr 1, 2025","67eac63ebf5a89ecaf771b18","23m 28s","$32.50/hr","$12.71","prepay","hopper_v2","processed"
"Apr 1, 2025","67eaa9303c080650ff3ceb59","21m 35s","$32.50/hr","$11.70","prepay","hopper_v2","processed"
"Apr 1, 2025","67eb38a83b509706916cb553","7m 57s","$9.75/hr","$1.29","overtimePay","hopper_v2","processed"
"Apr 1, 2025","67eb38a83b509706916cb553","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Apr 1, 2025","67eb247299a9f3159561ea09","18m 41s","$32.50/hr","$10.12","prepay","hopper_v2","processed"
"Apr 1, 2025","67eb10ffb3e83615cf9e0cd7","3m 42s","$9.75/hr","$0.60","overtimePay","hopper_v2","processed"
"Apr 1, 2025","67eb10ffb3e83615cf9e0cd7","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Apr 1, 2025","67e5a84af0c4080ee0638aae","28m 51s","$32.50/hr","$15.63","prepay","apron_evals","processed"
"Apr 1, 2025","67ea2a7fe05c4e1cb29acd34","-","-","$65.01","missionReward","-","processed"
"Apr 1, 2025","67ea2a7fe05c4e1cb29acd34","-","-","$38.99","missionReward","-","processed"
"Apr 1, 2025","67e97485d8330da510e8150d","34m 50s","$32.50/hr","$18.87","prepay","apron_evals","processed"
"Apr 1, 2025","67e84273e882daac43d4431b","40m 18s","$32.50/hr","$21.83","prepay","apron_evals","processed"
"Apr 1, 2025","67eacc4ab1472e1dfb30d037","42m 45s","$32.50/hr","$23.16","prepay","apron_evals","processed"
"Mar 31, 2025","67e5a84b3910b97ccdf2226a","34m 20s","$32.50/hr","$18.60","prepay","apron_evals","processed"
"Mar 31, 2025","67e5a84ae7ecb810509e45cb","37m 15s","$32.50/hr","$20.19","prepay","apron_evals","processed"
"Mar 31, 2025","67eacc4d834c75b2a240d9c7","45m ","$32.50/hr","$24.38","prepay","apron_evals","processed"
"Mar 31, 2025","67e725889e076a33807aee5a","45m ","$32.50/hr","$24.38","prepay","apron_evals","processed"
"Mar 31, 2025","67e78e092f38fda8be7c437b","14m 33s","$32.50/hr","$7.89","prepay","hopper_v2","processed"
"Mar 31, 2025","67e87b1b7b4b746b0d6f84f7","29m 44s","$32.50/hr","$16.11","prepay","hopper_v2","processed"
"Mar 31, 2025","67e866b2b132c9ea9408521e","8m 50s","$9.75/hr","$1.44","overtimePay","hopper_v2","processed"
"Mar 31, 2025","67e866b2b132c9ea9408521e","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 31, 2025","67e9cfd75815640d31ec399d","27s","$9.75/hr","$0.07","overtimePay","hopper_v2","processed"
"Mar 31, 2025","67e9cfd75815640d31ec399d","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 31, 2025","67e88be52fe4a6da0c3ca966","29m 5s","$32.50/hr","$15.76","prepay","hopper_v2","processed"
"Mar 31, 2025","67ea53658e3183e7ef2dc5f7","3m 4s","$9.75/hr","$0.50","overtimePay","hopper_v2","processed"
"Mar 31, 2025","67ea53658e3183e7ef2dc5f7","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 31, 2025","67ea07c54bcafb6425d5b21f","30m 42s","$32.50/hr","$16.64","prepay","hopper_v2","processed"
"Mar 31, 2025","67e99d2836fef45e26bec27b","1m 34s","$9.75/hr","$0.26","overtimePay","hopper_v2","processed"
"Mar 31, 2025","67e99d2836fef45e26bec27b","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 31, 2025","67e78d53b727254358a0f1cb","8m 16s","$9.75/hr","$1.35","overtimePay","hopper_v2","processed"
"Mar 31, 2025","67e78d53b727254358a0f1cb","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 31, 2025","67e78d4a6dcfdc29a34cbc97","32m 59s","$32.50/hr","$17.87","prepay","hopper_v2","processed"
"Mar 31, 2025","67e78d63a57a8d50a89c006e","24m 20s","$32.50/hr","$13.18","prepay","hopper_v2","processed"
"Mar 31, 2025","67e2e43a256317dc7a75e40d","-","-","$0.02","payAdjustment","hopper_v2","processed"
"Mar 31, 2025","67e5981c60e4fefcd024ca03","-","-","$0.39","payAdjustment","hopper_v2","processed"
"Mar 31, 2025","67e30e604a49bafae1ec12a4","-","-","$0.02","payAdjustment","hopper_v2","processed"
"Mar 31, 2025","67e5984314fa53c3919325ee","-","-","$0.03","payAdjustment","hopper_v2","processed"
"Mar 31, 2025","67e21c9e174fa39d424a80dd","-","-","$0.07","payAdjustment","hopper_v2","processed"
"Mar 31, 2025","67e5b4f59caa8271078eabed","-","-","$0.06","payAdjustment","hopper_v2","processed"
"Mar 31, 2025","67e21c9d582c28b6c3f193f2","-","-","$0.06","payAdjustment","hopper_v2","processed"
"Mar 31, 2025","67e54d7326f25545046b5bc7","-","-","$0.01","payAdjustment","hopper_v2","processed"
"Mar 31, 2025","67e533ee76e72f897baa5b23","-","-","$0.01","payAdjustment","hopper_v2","processed"
"Mar 31, 2025","67e22a109be327f93d67aa52","-","-","$0.00","payAdjustment","hopper_v2","processed"
"Mar 30, 2025","67e7a10035ad4c207cc337e5","-","-","$11.78","missionReward","-","processed"
"Mar 30, 2025","67e7a10035ad4c207cc337e5","-","-","$17.47","missionReward","-","processed"
"Mar 29, 2025","67e245e5beb4962f0e72362d","33m 57s","$32.50/hr","$18.40","prepay","apron_evals","processed"
"Mar 29, 2025","67e78d5ff7d3b4ecebccee2d","20m 52s","$32.50/hr","$11.31","prepay","hopper_v2","processed"
"Mar 29, 2025","67e78113a73992cad7579914","31m 38s","$32.50/hr","$17.14","prepay","apron_evals","processed"
"Mar 29, 2025","67e245ec5433ee8358502f50","8m 29s","$9.75/hr","$1.38","overtimePay","apron_evals","processed"
"Mar 29, 2025","67e245ec5433ee8358502f50","45m ","$32.50/hr","$24.37","prepay","apron_evals","processed"
"Mar 29, 2025","67e7c4ec7eff946e73defdad","21m 30s","$32.50/hr","$11.65","prepay","hopper_v2","processed"
"Mar 29, 2025","67e78d3f16385d11d47dac4a","1m 41s","$9.75/hr","$0.28","overtimePay","hopper_v2","processed"
"Mar 29, 2025","67e78d3f16385d11d47dac4a","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 29, 2025","67e78d4c464f7aefe3135189","9m 25s","$9.75/hr","$1.53","overtimePay","hopper_v2","processed"
"Mar 29, 2025","67e78d4c464f7aefe3135189","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 29, 2025","67e78d61f6166c0c36f20100","19m 24s","$32.50/hr","$10.52","prepay","hopper_v2","processed"
"Mar 29, 2025","67e252310a1150ce07621907","-","-","$113.75","missionReward","-","processed"
"Mar 29, 2025","67eb2571da1d0de89309fe05","-","-","$11.65","workLog","-","processed"
"Mar 29, 2025","67e66290b52df38479cc1265","-","-","$104.00","missionReward","-","processed"
"Mar 28, 2025","67e60162c4967cae06ace973","22m 38s","$32.50/hr","$12.26","prepay","hopper_v2","processed"
"Mar 28, 2025","67e2b393b604d77e0565e13d","23m 28s","$32.50/hr","$12.71","prepay","hopper_v2","processed"
"Mar 28, 2025","67e22aae8f5826f7a1e15447","25m 38s","$32.50/hr","$13.89","prepay","hopper_v2","processed"
"Mar 28, 2025","67e229d70989324bff8691cd","22m 29s","$32.50/hr","$12.18","prepay","hopper_v2","processed"
"Mar 28, 2025","67e60d01e59f0cdc23e685d4","4m 47s","$9.75/hr","$0.78","overtimePay","hopper_v2","processed"
"Mar 28, 2025","67e60d01e59f0cdc23e685d4","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 28, 2025","67e5d7e3cbd15bdb82365faa","5m 54s","$9.75/hr","$0.96","overtimePay","hopper_v2","processed"
"Mar 28, 2025","67e5d7e3cbd15bdb82365faa","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 28, 2025","67e6614bb60969e94ef24df1","26m 26s","$32.50/hr","$14.32","prepay","hopper_v2","processed"
"Mar 28, 2025","67e5ddcf7c032db358dfcb8f","23m 54s","$32.50/hr","$12.95","prepay","hopper_v2","processed"
"Mar 28, 2025","67e5f3aa9207bdf6ee0759e3","30m 10s","$32.50/hr","$16.34","prepay","hopper_v2","processed"
"Mar 28, 2025","67e63d66ab9fe9a1c2cc7bd2","26m 30s","$32.50/hr","$14.36","prepay","hopper_v2","processed"
"Mar 28, 2025","67e6a9502bb9542ce22c0709","3m 32s","$9.75/hr","$0.58","overtimePay","hopper_v2","processed"
"Mar 28, 2025","67e6a9502bb9542ce22c0709","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 28, 2025","67e597f7035bc70aaac2b644","33s","$9.75/hr","$0.09","overtimePay","hopper_v2","processed"
"Mar 28, 2025","67e597f7035bc70aaac2b644","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 28, 2025","67e5b4f52f1bcb126d182415","15m 6s","$9.75/hr","$2.46","overtimePay","hopper_v2","processed"
"Mar 28, 2025","67e5b4f52f1bcb126d182415","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 28, 2025","67e5b4f59caa8271078eabed","1m 52s","$9.75/hr","$0.30","overtimePay","hopper_v2","processed"
"Mar 28, 2025","67e5b4f59caa8271078eabed","35m ","$32.50/hr","$18.90","prepay","hopper_v2","processed"
"Mar 28, 2025","67e5ac427719a859e9415d0a","8m 1s","$9.75/hr","$1.30","overtimePay","hopper_v2","processed"
"Mar 28, 2025","67e5ac427719a859e9415d0a","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 28, 2025","67e5981c60e4fefcd024ca03","34m 40s","$32.50/hr","$18.38","prepay","hopper_v2","processed"
"Mar 28, 2025","67e24620c5b9eb31d520e482","16m 5s","$9.75/hr","$2.61","overtimePay","hopper_v2","processed"
"Mar 28, 2025","67e24620c5b9eb31d520e482","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 28, 2025","67e4fb8d9fecc8cb306bd0de","-","-","$104.00","missionReward","-","processed"
"Mar 27, 2025","67e22a605f441c4b059e398b","25m 26s","$32.50/hr","$13.78","prepay","hopper_v2","processed"
"Mar 27, 2025","67e22a889be327f93d67b7fe","21m 27s","$32.50/hr","$11.62","prepay","hopper_v2","processed"
"Mar 27, 2025","67e5984314fa53c3919325ee","10m 20s","$9.75/hr","$1.68","overtimePay","hopper_v2","processed"
"Mar 27, 2025","67e5984314fa53c3919325ee","35m ","$32.50/hr","$18.93","prepay","hopper_v2","processed"
"Mar 27, 2025","67e5980a045a273ed639260d","21m 56s","$32.50/hr","$11.89","prepay","hopper_v2","processed"
"Mar 27, 2025","67e22a97ff5320d33339a6fc","24m 11s","$32.50/hr","$13.11","prepay","hopper_v2","processed"
"Mar 27, 2025","67e2460c25e3a781fdf7fe5a","6m 46s","$9.75/hr","$1.10","overtimePay","hopper_v2","processed"
"Mar 27, 2025","67e2460c25e3a781fdf7fe5a","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 27, 2025","67e246175e50394320c75d9c","3m 13s","$9.75/hr","$0.53","overtimePay","hopper_v2","processed"
"Mar 27, 2025","67e246175e50394320c75d9c","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 27, 2025","67e5981ffd81b616997cb89b","29m 56s","$32.50/hr","$16.22","prepay","hopper_v2","processed"
"Mar 27, 2025","67e22c5c0989324bff86b2bb","18m 41s","$32.50/hr","$10.13","prepay","hopper_v2","processed"
"Mar 27, 2025","67e54d7326f25545046b5bc7","29m 20s","$32.50/hr","$15.88","prepay","hopper_v2","processed"
"Mar 27, 2025","67e533ee76e72f897baa5b23","3m 20s","$9.75/hr","$0.54","overtimePay","hopper_v2","processed"
"Mar 27, 2025","67e533ee76e72f897baa5b23","35m ","$32.50/hr","$18.95","prepay","hopper_v2","processed"
"Mar 27, 2025","67e28903adfeec5aa4e1ccbb","20m 56s","$32.50/hr","$11.34","prepay","hopper_v2","processed"
"Mar 27, 2025","67e27f1d8b13bc9c378ce1c3","20m 59s","$32.50/hr","$11.37","prepay","hopper_v2","processed"
"Mar 27, 2025","67e22a9423bd5457302d970b","4m 36s","$9.75/hr","$0.75","overtimePay","hopper_v2","processed"
"Mar 27, 2025","67e22a9423bd5457302d970b","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 27, 2025","67e22a885b6b69693eae76ca","21m 32s","$32.50/hr","$11.67","prepay","hopper_v2","processed"
"Mar 27, 2025","67e22c12a942031f711d6a6b","18m 53s","$32.50/hr","$10.24","prepay","hopper_v2","processed"
"Mar 27, 2025","67e553af3205261bc7ee5da8","18m 43s","$32.50/hr","$10.14","prepay","hopper_v2","processed"
"Mar 27, 2025","67e22aefaf0a3134c291afa9","32m 53s","$32.50/hr","$17.81","prepay","hopper_v2","processed"
"Mar 27, 2025","67e22ae399395f17cb6b73a9","5m 32s","$9.75/hr","$0.90","overtimePay","hopper_v2","processed"
"Mar 27, 2025","67e22ae399395f17cb6b73a9","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 27, 2025","67e399e30d03bfbaca878ff0","-","-","$104.00","missionReward","-","processed"
"Mar 27, 2025","67e22abaa209b5038b03ece8","5m 23s","$9.75/hr","$0.88","overtimePay","hopper_v2","processed"
"Mar 27, 2025","67e22abaa209b5038b03ece8","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 26, 2025","67e30e5502e0979dceaffcac","14m 12s","$32.50/hr","$7.70","prepay","hopper_v2","processed"
"Mar 26, 2025","67e22a109be327f93d67aa52","35s","$9.75/hr","$0.10","overtimePay","hopper_v2","processed"
"Mar 26, 2025","67e22a109be327f93d67aa52","35m ","$32.50/hr","$18.96","prepay","hopper_v2","processed"
"Mar 26, 2025","67e2460cd67a86957a6f402c","33m 1s","$32.50/hr","$17.89","prepay","hopper_v2","processed"
"Mar 26, 2025","67e30440eeae1fb43b91301a","22m 25s","$32.50/hr","$12.15","prepay","hopper_v2","processed"
"Mar 26, 2025","67e30e604a49bafae1ec12a4","34m 59s","$32.50/hr","$18.94","prepay","hopper_v2","processed"
